Start Date,Subject,Location,Description
2020/4/4,第４１回泉卓球まつり,宮城野体育館,主催協会：泉区
2020/4/11,令和２年度仙台市春季卓球リーグ戦（女子の部）,宮城野体育館,主催協会：仙台市
2020/4/25,令和２年度仙台市春季卓球リーグ戦（男子の部）,宮城野体育館,主催協会：仙台市
2020/4/29,第10回杜の都オープンラージボール卓球大会,仙台市体育館,主催協会：仙台市
2020/5/2,第50回仙台市中学校対抗卓球大会（団体）,仙台市体育館,主催協会：仙台市
2020/5/17,第24回太白区親善卓球大会,秋保体育館,主催協会：太白区
2020/5/24,第５７回仙台市民総合体育大会卓球大会（団体）,仙台市体育館,主催協会：仙台市
2020/5/24,第２９回泉オープンラージボール卓球大会,泉体育館,主催協会：泉区
2020/5/31,第１７回若林オープン卓球大会,若林体育館,主催協会：若林区
2020/6/6,第１９回若卓ラージボール大会,出花体育館,主催協会：若林区
2020/6/28,第２０回仙台市卓球選手権大会（個人複）,仙台市体育館,主催協会：仙台市
2020/7/9,第２０回泉レデイース七夕卓球大会,泉体育館,主催協会：泉区
2020/7/12,第１９回太白区ラージボール卓球大会,秋保体育館,主催協会：太白区
2020/7/12,第１８回青葉区親善卓球大会,広瀬体育館,主催協会：青葉区
2020/7/12,第２５回宮城野オープンラージボール卓球大会,若林体育館,主催協会：宮城野区
2020/7/26,第２０回仙台市ラージボール卓球大会,若林体育館,主催協会：仙台市
2020/8/1,第１５回泉中学生学年別卓球大会,泉体育館,主催協会：泉区
2020/8/4,第１４回太白区ジュニア卓球大会,仙台市体育館,主催協会：太白区
2020/8/22,第３０回仙台市会長杯争奪卓球大会（中学の部）,仙台市体育館,主催協会：仙台市
2020/8/22,第４０回泉クラブ（団体）対抗卓球大会　　,泉体育館,主催協会：泉区
2020/8/23,第３０回仙台市会長杯争奪卓球大会（一般の部）,仙台市体育館,主催協会：仙台市
2020/9/12,第１４回杜の都レディース卓球大会,若林体育館,主催協会：仙台市
2020/9/12,第４回泉区卓球協会会長杯争奪卓球大会（団体の部）,泉体育館,主催協会：泉区
2020/9/13,第２３回太白区個人ダブルス卓球選手権大会,秋保体育館,主催協会：太白区
2020/9/20,第１９回青葉区ジュニア育成卓球大会,青葉体育館,主催協会：青葉区
2020/9/26,第９回太白区卓球大会,仙台市体育館,主催協会：太白区
2020/10/3,第８回太白区オープン卓球大会,仙台市体育館,主催協会：太白区
2020/10/31,第９回太白区チャレンジカップ卓球大会,宮城野体育館,主催協会：太白区
2020/10/31,第１７回宮城野団体卓球大会　　,若林体育館,主催協会：宮城野区
2020/11/3,第３１回泉スリーダブルス卓球大会,泉体育館,主催協会：泉区
2020/11/3,第２１回青葉区民総合スポーツ祭・第24回仙台市青葉区卓球大会,青葉体育館,主催協会：青葉区
2020/11/23,仙台市民総合体育大会卓球大会 兼 第20回仙台市区対抗卓球大会,若林体育館,主催協会：仙台市
2020/11/28,第13回若卓ジュニア卓球大会,出花体育館,主催協会：若林区
2020/12/3,第１７回泉レデイース冬季卓球大会,泉体育館,主催協会：泉区
2020/12/12,令和２年度仙台市秋季リーグ戦（男子の部）,仙台市体育館,主催協会：仙台市
2020/12/19,令和２年度仙台市秋季リーグ戦（女子の部）,仙台市体育館,主催協会：仙台市
2021/1/16,第２７回仙台市ラージボール卓球大会（個人単・複）,宮城野体育館,主催協会：仙台市
2021/1/17,第２５回太白区学区対抗卓球大会,秋保体育館,主催協会：太白区
2021/1/17,第７回泉年代別卓球大会,泉体育館,主催協会：泉区
2021/1/24,第２５回宮城野オープン個人卓球大会,宮城野体育館,主催協会：宮城野区
2021/1/30,第２０回若卓ラージボール大会,出花体育館,主催協会：若林区
2021/2/6,第１１回泉フレンドシップ卓球大会,泉体育館,主催協会：泉区
2021/2/11,第８４回仙台市個人卓球選手権大会,仙台市体育館,主催協会：仙台市
2021/2/20,第７回宮城野区卓球協会会長杯争奪卓球大会,宮城野体育館,主催協会：宮城野区
2021/3/7,第６回青葉区卓球協会会長杯争奪卓球大会,青葉体育館,主催協会：青葉区
2021/3/14,第１６回若林区・太白区親善卓球大会,仙台市体育館,主催協会：若・大区
2021/3/21,第５０回仙台市中学生新人卓球大会（個人戦）,仙台市体育館,主催協会：仙台市
2021/3/27,第２８回バタフライダブルスチームカップ選手権大会,仙台市体育館,主催協会：仙台市
2021/3/27,第２８回泉区卓球協会会長杯争奪卓球大会（個人の部）,泉体育館,主催協会：泉区
